id,action,purpose,why,contact,url,agency,labeler
dbf72dfe3845,Contact elected officials,funding,Agency supports Eastern Parkway Malls repairs but lacks capital funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc0dace17d79,Contact elected officials,funding,Parks supports this project but needs funding to proceed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc0e52ae2bbd,Track with agency,status,DOHMH will try to accommodate this issue within its existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc2245ee99bd,Contact agency,reconsider,FDNY supports this in concept but prioritizes maintaining existing facilities first.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
dc24493acb17,Contact agency,study,OMB says further study is needed; significant funding would also be required.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc28365e8696,Contact agency,redirect,"DCAS says this property was assigned to HPD, no longer DCAS's.",,,Housing Preservation & Development,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dc3643e80889,Contact agency,discuss,650 East Tremont is privately owned; EDC only helps promote available space to businesses.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc38c7e6fa4b,Contact agency,reconsider,OMB says the borough has no identified high school seat need for new schools.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc427ba74f91,Contact elected officials,funding,BPL supports this project but needs City-funded financial support to proceed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc45df103235,Contact agency,study,OMB says further study is needed on additional HIV programming.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc4ea7c2c826,Contact agency,redirect,OMB says traffic calming device requests go to DOT's Borough Commissioner.,Borough Commissioner's office (for Traffic Calming Device requests),,Department of Transportation,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dc58a0f8c714,Contact elected officials,funding,"FDNY supports more hires, but headcount above budget needs OMB's approval.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc5d0179e0df,Contact agency,discuss,"DOHMH is happy to discuss partnering on rodent reduction, including Rat Academies.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc85e0c5fdce,Use 311 or another channel,channel,SBS offers business workshops/webinars; call the SBS hotline for a referral.,SBS Hotline (888) SBS-4NYC,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dc961d2f81aa,Track with agency,status,This district has identified seat need; DOE projects addressing it are underway or completed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc99f48ba90a,Track with agency,status,Parks will work with DOT and include this in future playground renovation projects.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dc9c7ff30358,No follow-up needed,none,Already completed; there is electricity at the bandshell.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dcb4a04cef4c,Contact elected officials,funding,Cannot be funded this cycle; both responses say resubmit for future consideration.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dcb798337928,Track with agency,status,"HPD continues financing affordable housing, including ELI/VLI units, via subsidies and LIHTC.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dcc58d0daf11,Contact elected officials,funding,Parks supports Playground 286 improvements but has no capital funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dcc74460acf2,Use 311 or another channel,channel,OMB says this is not a budget request.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dcc9884da26b,Contact agency,clarify,DOT needs specific locations from the board to understand this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dccac61beee1,Track with agency,status,Each Patrol Borough already enforces traffic laws based on conditions and complaints.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dccf4cd9eb8b,Track with agency,status,DFTA continues funding senior programs in this district and advocates for more funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dce308261637,Contact agency,study,OMB says further study is needed; NYCHA says it continues turning over vacant units.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dced9d3cc14b,Track with agency,status,Agency says the main item is done and it will still look into signage.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dcf1ed9012af,Contact elected officials,funding,NYPD staffing depends on Preliminary/Executive budget decisions; civilian headcount is reduced.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dcf53368a371,Contact agency,study,OMB says further study is needed; NYC Aging says it lacks staffing to meet this need.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dcfb5b511368,Track with agency,status,NYPL expects the construction contract for this project to be let shortly.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dd27703c94af,Track with agency,status,SBS can't fund a new Red Hook center but will use its Mobile Unit and nearby centers.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dd2d4adc142f,Contact elected officials,funding,Parks supports a new public restroom building but needs funding to construct it.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dd37541695e4,Track with agency,status,Cooling piping replacement is done; a new boiler is in its final stages of completion.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dd4e9867090e,Track with agency,status,Parks will fix the flood-damaged pumps and restore water in the spring.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
dd527aca31e3,Track with agency,status,"Parks has an upcoming capital project to upgrade Joe Michaels Mile, including lighting.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dd576acb20ee,Contact elected officials,funding,Parks lacks capital funding; board can reach out to local elected officials.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dd76987c75e6,Contact agency,clarify,SBS needs more information on this request; contact intergov@sbs.nyc.gov.,intergov@sbs.nyc.gov,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dd7b35e193de,Contact agency,discuss,Parks gives no reason; response asks the board to contact the agency directly.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dd8850113d4f,Contact agency,clarify,OMB and DOHMH both say the board must specify more details about this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dd89afb353fa,Contact agency,clarify,OMB says it needs more information from the board before a funding decision.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dd901167d94c,Contact agency,reconsider,Parks says this site was recently reconstructed and does not need further work.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dda50d054abf,No follow-up needed,none,Already completed; ACS-involved families already have access to mental health services.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dda711b7de31,Contact agency,clarify,No details were provided on this request; the board must supply more information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
ddbbd3c2de4e,Track with agency,status,East River Esplanade Phase III construction begins this spring; a northern extension is in design.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
ddbdbdd0bd14,Track with agency,status,DEP will try to accommodate this issue within existing resources.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
ddbe03a334b4,Track with agency,status,Construction contract has been let for this previously funded capital project.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
ddc757103cea,Track with agency,status,DFTA added $1M to case management contracts in the November 2026 Financial Plan.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
ddc95dde21cf,Contact agency,discuss,Multi-part Parks request; some funded/underway/completed; contact Parks for specifics.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
ddd378a7a173,Contact elected officials,funding,OMB recommends bringing this request to elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dddacfa270be,Track with agency,status,This capital project is included in the Executive Budget for future out years.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
ddf30b7152b0,Contact elected officials,funding,Over half of Sunset Park's paths are done; the remaining paths are not currently funded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
ddf383c557be,Contact elected officials,funding,DOHMH agrees additional funding is needed but has no resources available now.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
ddfec06c0efa,Track with agency,status,This project was funded previously and is completed or was expected to finish in FY2024.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
de00e9e512b7,Use 311 or another channel,channel,SBS already runs training/apprenticeship programs and Workforce1 Center services.,training-02@sbs.nyc.gov (for apprenticeship partnership),,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
de0761e055b1,Contact elected officials,funding,"Space is reserved for a restroom, but the facility type is undetermined and needs funding.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
de24285e455f,Track with agency,status,"Harlem River Park is under construction; restroom funding is secured, other needs TBD.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
de266e39f0c5,Contact agency,discuss,Leif Ericson Park perimeter work is partially funded; contact Parks for details.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
de275e890ce7,Track with agency,status,"NYCHA has already completed over 4,000 move-ins this year, well above 2023's pace.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
de3555841c68,Contact agency,redirect,DOT says this is a Park property issue; refer to DPR.,,,Department of Parks & Recreation,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
de471dd3e954,Contact agency,redirect,DOHMH defers domestic violence questions to the Mayor's Office to End GBV.,,,Mayor's Office to End Domestic and Gender-Based Violence,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
de528c242a41,Use 311 or another channel,channel,"EDC already offers HireNYC, Founder Fellowship, LifeSci NYC, Women.NYC programs.",,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
de5b92737e2f,No follow-up needed,none,Already completed; supportive housing already provides or refers out these services.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
de65d5f03519,Contact elected officials,funding,NYC Aging will seek additional funding to support this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
de8e113c34f3,Contact agency,discuss,DOT directs traffic calming device requests to the Borough Commissioner.,NYCDOT Borough Commissioner,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
de95faff13b0,Track with agency,status,OMB says this project is included in the agency's FY2023 lump-sum Commitment Plan.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
de96147d47e3,Contact elected officials,funding,"More funding would expand Parks' Trees & Sidewalks Program, but it's undetermined for now.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dea1cea81468,Use 311 or another channel,channel,"SBS already promotes services via outreach team, Mobile Unit, and hotline.",SBS Small Business Hotline: (888) SBS-4NYC,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dea1e3a4303b,Contact agency,clarify,Parks does not understand this signage request and has specific clarifying questions.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dea35dc625c8,Contact elected officials,funding,Parks has no capital funding for these restrooms; OMB says resubmit for FY26.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
deadf3a6597f,Contact agency,study,HPD cannot yet project a closing timeline; OMB says further investigation is needed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
deaf9b39a30c,Contact elected officials,funding,"BPL supports restored/increased funding for hours, collections, and maintenance.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
deb007c124ce,Contact agency,clarify,DOT needs a specific intersection; reach out with details to look into it.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dedaaef9a5d7,Track with agency,status,Already funded; the project is currently in construction.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dee19bdf3567,No follow-up needed,none,"Already completed; HPD provides this via resource fairs, tabling, and its outreach van.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
deec09a3ba8d,Contact agency,clarify,DOB says the request lacks sufficient information and needs clarification.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df0289ee499e,Contact elected officials,funding,Parks lacks capital funding; advises the board to advocate with its elected official.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df0fab15e82c,Contact agency,redirect,DOHMH says to contact HRA/Department of Social Services directly.,,,Human Resources Administration,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
df12aa934824,Contact agency,study,OMB says further study is needed for this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df141c606203,Track with agency,status,DHS continually works with providers to enhance and identify best-practice services.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df1610503c89,Track with agency,status,Roof project is in process; not yet finished despite the completed tag.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df17132b136a,Contact elected officials,funding,Additional NYPD resources are unavailable due to funding; the program continues at current levels.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df19b4cad74c,Contact agency,clarify,OMB says more information is needed from the board before a funding decision.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df1af545683a,Track with agency,status,Citywide funds are maintained for FY21; specific allocations follow budget adoption.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df22942db16c,Contact agency,discuss,This covers multiple requests across different funding streams; some Sotomayor work is underway.,,https://capitaltracker.nycha.info/developments/67,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df23d4940f64,Use 311 or another channel,channel,"DOE says this is not a budget request; OMB agrees, notes some may be capital.",,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
df25ec03ae45,Track with agency,status,"NYPD is working with OMB on the Rodman's Neck range renovation, funded in out years.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df3a9d5c95f6,Track with agency,status,DFTA already funds many contracts and continues to advocate for more aging services funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df55bde5d833,Contact agency,study,"OMB says further study is needed, though DFTA agrees with the request.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
df596fe63932,Use 311 or another channel,channel,DOHMH already responds to 311 complaints; more services depend on resources.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
df929f60dc6b,Contact elected officials,advocacy,Approval depends on the City receiving sufficient Federal or State funds.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dfbafae20f92,Contact agency,discuss,HRA continues exploring; contact its Office of Advocacy and Outreach to discuss.,HRA's Office of Advocacy and Outreach,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dfc9b992a81c,No follow-up needed,none,"Already completed; NY State increased youth funding, though City tax levy funds most services.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dfcc7e055cf7,Track with agency,status,H+H already operates a COVID Center of Excellence plus nearby hospitals and clinics in the area.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dfd4ddae8790,Use 311 or another channel,channel,DOHMH points to the 988 crisis counseling line for this need.,"988 (call, text, or chat at 988lifeline.org)",,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dfd6169921e2,Contact agency,discuss,DCP will accommodate only portions of this multi-part request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
dfe662827119,Contact agency,redirect,H+H says this isn't in its jurisdiction; contact OMB's Community Board Unit.,Community Board Unit at OMB,,Office of Management & Budget,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
dff141a98c3b,No follow-up needed,none,"Already completed; DOT's investigation found signals operating properly, no changes needed.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e0008cb09d93,Track with agency,status,DOHMH already responds to every complaint and follows up on rodent-conducive conditions.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e008d04cb3d8,Contact agency,clarify,DFTA does not understand the request and needs more information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e00c4f42aa04,Contact agency,study,DFTA will first determine the project's scope before it can assess funding needs.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e014b7368e38,Contact elected officials,funding,Parks lacks capital funding; board can reach out to elected officials.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e023b2657073,Contact agency,reconsider,DOT has no plan to build a Step Street at this location.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e02634197624,Track with agency,status,Parks supports and will complete this work using existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e02d10e119a5,Contact agency,redirect,EDC says Wi-Fi infrastructure falls under NYC OTI's purview.,,,Office of Technology & Innovation (DoITT),"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e0302b7c7b8c,Contact agency,discuss,DOT's Street Lighting team will investigate with specific locations from the board.,Street Lighting team (reach out with specific locations),,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e031c4af6a4c,Contact agency,discuss,EDC is evaluating the budget amid BRIC funding uncertainty; discuss with EDC directly.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e037105abedb,Contact elected officials,funding,Hiring PEP Officers depends on FY26 Adopted Budget funding; too early to confirm.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e03e7b17456c,Contact agency,clarify,DCP and OMB both say more information is needed from the board.,DCP Borough Office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e047ea4881b8,Contact elected officials,funding,Converting the rink needs funding and further community input before final decisions.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e04bd221e7ce,Contact agency,reconsider,H+H already has portable AV solutions and other recently renovated gathering spaces at Bellevue.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e05297911456,Contact elected officials,funding,DCLA recommends bringing this project to your Borough President or Council member.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e05458025642,Contact elected officials,funding,DFTA supports but cannot accommodate; it works with the state to seek additional funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e05fff9be3bc,Track with agency,status,Trinity Church is contractually committed to renovate this park per agreement.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e068c004a5a6,Contact agency,clarify,DOT needs a list of specific locations to consider for audible pedestrian signals.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e06d0e5194fe,Track with agency,status,"DOT is collaborating with the board, DSNY, and others on Union Square trash pickup solutions.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e0726fb46a00,Contact agency,study,"OMB says further investigation is needed, despite HRA citing its broad poverty-reduction programs.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e072fea89e07,Track with agency,status,Parks will maintain Brooklyn Promenade tiles and paint benches using existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e073e52af5ad,Use 311 or another channel,channel,Parks says report individual tree pruning needs via 311 or its online tree system.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e0741f92b761,Contact agency,redirect,"NYC DOT refers this to NYS DOT, which has jurisdiction.",,,NYS Department of Transportation,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e076cd320251,Contact elected officials,advocacy,Approval of this request depends on sufficient Federal or State funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e0841ae59a74,Contact elected officials,funding,FMCP has chronic drainage issues from its site history; Parks lacks capital funding to fix it.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e091daa681d9,Contact elected officials,funding,This would be funded via NYC Council's Clean-Up Initiative or discretionary funds; contact council members.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e0a2c22a0923,Contact agency,reconsider,EDC is currently focused on the La Placita and public market renovation instead.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e0a3afbecfc2,Contact agency,study,NYC Aging reviews HDM meal provider need quarterly and hasn't found cause to increase it.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e0c224be64d8,Contact elected officials,funding,Parks agrees these fields need reconstruction but funding is needed for the work.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e0c627124689,Use 311 or another channel,channel,ACS provides child care vouchers; families apply via the MyCity portal.,,nyc.gov/mycity.nyc.gov,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e0d34152e5d8,Track with agency,status,Bensonhurst Park has $6.8M funded; construction is expected to begin spring 2027.,,https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/10705,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e0de14fb2ace,No follow-up needed,none,Already completed; HPD increased Queens inspector headcount and continues hiring efforts.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e0e0c52dd6f6,Contact agency,discuss,Curbs addressed via Prior Notice Contracts; submit locations to Borough Commissioner.,Borough Commissioner (submit specific locations for curb repair review),,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e0f201b35244,Contact agency,redirect,"DOT says DEP has a pump station project here; contact DEP, remove from DOT's list.",,,Department of Environmental Protection,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e102b0a1a5e3,Track with agency,status,Parks will plant trees and remove dead trees/stumps in CB2 under its citywide program.,,https://www.nycgovparks.org/trees/street-tree-planting,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e1093b390d40,Track with agency,status,DSS already provides case management connecting clients to resources across sister agencies.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e12700e5c8ce,Contact elected officials,funding,Parks supports but cannot fund this now; advises continued advocacy and resubmission.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e12eacbd5a58,Contact elected officials,funding,Parks supports a new recreation center but has no capital funding available.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e141cd2ff529,Contact agency,discuss,OMB says contact the Borough Commissioner's office to discuss this request.,Borough Commissioner's office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e14517b2a26b,Contact agency,clarify,Parks needs to know which park is meant by 'Audubon Park at W. 155th Street.',,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e14ec6f5b849,Contact elected officials,funding,Agency says this request is not recommended for funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e153701f9062,Contact agency,study,"Parks says a study is needed to understand facility needs, and funding is required.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e15648ad68e0,Contact agency,discuss,Empire Bin program continues; OMB says this request is only partially funded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e15df56a84ac,Track with agency,status,OMB says a citywide allocation funds this; DSNY determines specific locations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e15e5f4ee886,No follow-up needed,none,Already completed; capital funding was allocated for this project.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e1657be1c027,Track with agency,status,DOT will submit lighting studies for these locations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e16d9509085d,Contact elected officials,funding,BPL supports additional funding to expand programs and better maintain its buildings.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e175bbd2d499,Contact agency,discuss,SBS can't expand BSC centers now; welcomes recommendations via intergov@sbs.nyc.gov.,intergov@sbs.nyc.gov; SBS Hotline 888-SBS-4NYC,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e17790c31909,Track with agency,status,Project is funded; the preliminary design contract has been let.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e1844c4e68a2,Contact elected officials,funding,Cannot be funded this cycle; resubmit for FY2025 consideration.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e1860dee6c49,Contact agency,discuss,DOT says resurfacing/milling requests go to Borough Directors of Maintenance.,NYCDOT Borough Directors of Maintenance,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e18839a7ed75,Track with agency,status,DHS already funds programs to address these issues in the district.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e18a0d2ac23f,Track with agency,status,OMB says this project is ongoing; contact the agency for a status update.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e18e3925c3bb,No follow-up needed,none,Already completed; funding is in place for eviction legal services.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e197ff3b9190,Use 311 or another channel,channel,SBS offers technical assistance; OMB says this is not a budget request.,,nyc.gov/SBS,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e1c548945c01,Track with agency,status,DHS has committed to shelter WiFi and has completed or is finishing this initiative.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e1d7e9d80c48,Track with agency,status,HRA continues mandated services for vulnerable adults; OMB says this is already funded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e1e0acaeb133,Contact agency,clarify,"DOB will use existing resources, but OMB asks the board to provide more information.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e1e5d19fb6b7,Contact elected officials,funding,DCLA recommends elected officials for additional funding beyond the CDF grant.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e1edac289603,Track with agency,status,St. Mark's Playground has $2.83M funded; construction begins spring 2027.,,https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/10624,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e1f400772ea6,Contact agency,clarify,Parks needs clarification on which park(s) have the dog waste issue.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e20014dc4a7c,Track with agency,status,"HPD will use subsidies, tax exemptions, and LIHTC to fund affordable housing in the pipeline.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e206c1fc98de,Track with agency,status,DOT regularly surveys step streets for repairs and partners with DSNY on scheduled cleanups.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e209441c0e67,Contact agency,clarify,DOT is exploring CB9 bike lane locations and welcomes specific suggestions from the board.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e211ee8cc28d,Track with agency,status,Slattery and other playgrounds already host recurring Kids in Motion and mobile play programs.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e215b3816465,Contact elected officials,funding,Parks lacks the resources to partner with DSNY on boardwalk recycling collection.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e216e01ddf6c,Contact agency,reconsider,DCLA no longer maintains the Community Arts Development Program.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e22045668850,Contact elected officials,funding,Parks lacks capital funding; board can reach out to local elected officials.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
e22ad5ed9d36,Track with agency,status,DOB will accommodate this issue within its existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
e22d528c511e,Contact agency,discuss,Signage is done; fencing is partially funded but needs $4M more to fully complete.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
